"Year","Tree","$Rt$","$Rt_{ARIMA}$"
1999,70334,1.16,1.3
1966,192070,1.22,1.17
1977,192070,0.69,0.65
1999,192070,1.29,1.31
1966,192068,1.05,0.97
1977,192068,1.05,1.05
1999,192068,1.41,1.46
1966,192130,1.01,0.9
1977,192130,0.95,0.93
1999,192130,1.16,1.25
1966,152044,1.86,1.19
1977,152044,0.83,0.66
1999,152044,0.93,0.91
1966,162415,0.91,0.92
1977,162415,0.59,0.78
1999,162415,1,1.01
1966,192074,0.97,0.97
1977,192074,0.73,0.74
1999,192074,1,1.09
1966,172517,0.89,0.63
1977,172517,0.71,0.75
1999,172517,0.91,0.85
1966,202230,1.12,1.02
1977,202230,0.8,0.98
1999,202230,0.87,0.92
1966,10731,0.98,0.95
1977,10731,0.86,0.82
1999,10731,0.63,0.71
1966,142602,1.03,1.05
1977,142602,0.67,0.73
1999,142602,0.88,0.96
1966,111240,1.07,1.19
1977,111240,0.92,0.77
1999,111240,1.13,1.21
1966,32381,1.17,1.13
1977,32381,0.85,0.84
1999,32381,0.93,0.98
1966,22064,1.02,0.97
1977,22064,0.92,0.94
1999,22064,0.74,0.76
1966,111196,0.9,0.88
1977,111196,0.65,0.79
1999,111196,0.66,0.59
1966,80458,1.05,1.02
1977,80458,0.66,0.71
1999,80458,1.19,1.11
1966,142583,1.02,0.98
1977,142583,1.2,1.15
1999,142583,0.76,0.66
1966,10726,0.77,0.81
1977,10726,0.99,0.84
1999,10726,0.87,0.91
1966,22031,0.75,0.76
1977,22031,0.67,0.66
1999,22031,0.73,0.55
1966,50274,1.06,0.81
1977,50274,0.97,0.72
1999,50274,0.97,0.96
1966,150890,0.8,0.77
1977,150890,1.44,1.53
1999,150890,0.86,0.83
1966,80233,0.8,0.77
1977,80233,0.96,0.91
1999,80233,1.12,1.09
1966,100771,0.7,0.72
1977,100771,0.81,0.76
1999,100771,0.6,0.69
1966,151021,1.04,0.97
1977,151021,0.89,0.97
1999,151021,0.94,0.95
1966,110811,0.62,0.6
1977,110811,0.84,0.77
1999,110811,0.76,0.81
1966,121305,0.86,0.83
1977,121305,0.82,0.66
1999,121305,0.76,0.72
1966,60353,0.83,0.87
1977,60353,0.64,0.59
1999,60353,0.89,0.76
1966,60116,0.81,0.77
1977,60116,0.56,0.55
1999,60116,1.08,1.14
1966,80235,0.52,0.79
1977,80235,0.99,0.97
1999,80235,0.86,1.06
1966,110331,1.14,1.17
1977,110331,1.1,0.77
1999,110331,0.82,0.89
1966,70126,0.82,0.83
1977,70126,1.13,1.03
1999,70126,0.87,0.88
1966,70096,0.7,0.69
1977,70096,0.75,0.74
1999,70096,0.82,0.8
1966,80316,0.89,0.9
1977,80316,1.17,0.97
1999,80316,0.82,1.1
1966,80491,0.63,0.9
1977,80491,0.89,0.8
1999,80491,1.16,1.12
1966,70502,0.71,0.84
1977,70502,1.01,0.94
1999,70502,0.76,0.76
1966,70407,1.01,0.94
1977,70407,0.82,0.64
1999,70407,0.98,1.07
1966,70421,0.89,0.86
1977,70421,0.82,0.81
1999,70421,1.04,1.06
1966,60550,0.81,0.8
1977,60550,0.89,0.88
1999,60550,0.86,0.85
1977,161524,1.06,0.7
1999,161524,0.86,0.93
1966,161576,0.7,0.76
1977,161576,0.79,0.86
1999,161576,0.85,0.9
1966,172202,1,1.03
1977,172202,1.4,0.96
1999,172202,0.91,0.92
1966,122060,0.81,0.71
1977,122060,0.85,0.85
1999,122060,0.79,0.82
1966,111314,0.63,0.82
1977,111314,0.97,1.06
1999,111314,1.06,1.08
1966,82138,1.39,1.04
1977,82138,1.45,0.9
1999,82138,0.9,0.76
1966,62281,0.57,0.6
1977,62281,0.77,0.78
1999,62281,1.06,1.09
1977,62019,1.1,0.62
1999,62019,0.97,0.98
1966,72396,1.18,1.34
1977,72396,0.91,0.87
1999,72396,0.86,0.91
1966,40649,1.01,0.87
1977,40649,0.75,0.74
1999,40649,1.35,1.5
1966,111252,1.12,1.05
1977,111252,0.53,0.43
1999,111252,0.98,0.94
1966,72140,0.81,0.86
1977,72140,0.73,0.73
1999,72140,0.85,0.9
1966,50499,0.7,0.66
1977,50499,0.96,0.92
1999,50499,0.76,0.91
1966,22336,0.62,0.62
1977,22336,0.45,0.54
1999,22336,0.74,0.76
1977,12460,0.95,0.95
1999,12460,0.99,1.08
1966,62372,0.84,0.96
1977,62372,0.9,0.94
1999,62372,1.02,1.02
1966,121026,0.88,0.93
1977,121026,0.83,0.78
1999,121026,0.94,0.94
1966,190907,0.75,0.73
1977,190907,0.81,0.89
1999,190907,0.99,0.88
1966,40617,1.05,1.05
1977,40617,0.84,0.74
1999,40617,0.99,1.02
1966,82228,0.9,0.71
1977,82228,1.4,1.55
1999,82228,0.91,0.88
1966,142490,1.85,0.96
1977,142490,0.89,1.06
1999,142490,1.19,1.25
1966,52287,1.12,0.87
1977,52287,1.11,0.76
1999,52287,0.67,0.74
1966,121434,1.19,0.96
1977,121434,1.15,1.05
1999,121434,0.87,0.88
1966,22371,1.11,0.82
1977,22371,0.75,0.79
1999,22371,1.06,0.91
1966,32368,0.98,0.82
1977,32368,0.8,0.77
1999,32368,0.92,0.94
1966,32498,0.93,0.93
1977,32498,0.84,0.79
1999,32498,0.95,1.01
1966,40533,0.82,0.77
1977,40533,0.68,0.69
1999,40533,0.77,0.72
1966,42248,0.83,0.75
1977,42248,1.08,0.98
1999,42248,0.89,0.86
1966,42283,0.98,0.96
1977,42283,0.69,0.74
1999,42283,1.21,1.58
1966,52403,0.96,1.02
1977,52403,0.85,0.79
1999,52403,1.1,1.13
1966,60549,0.91,0.65
1977,60549,0.85,0.81
1999,60549,0.65,0.64
1966,80046,0.77,0.75
1977,80046,0.96,0.9
1999,80046,0.93,1.01
1966,80148,0.76,0.73
1977,80148,1.17,1.11
1999,80148,0.94,0.97
1966,80159,0.8,0.7
1977,80159,0.66,0.73
1999,80159,0.87,0.8
1966,80576,0.58,0.53
1977,80576,0.84,0.84
1999,80576,0.51,0.48
1966,82434,0.87,0.89
1977,82434,1.1,1.03
1999,82434,1,1.04
1966,90084,0.6,0.56
1977,90084,0.84,0.81
1999,90084,1.04,1.13
1966,90104,0.83,0.79
1977,90104,1.19,1.24
1999,90104,0.79,0.68
1966,90634,1.18,0.93
1977,90634,0.67,0.67
1999,90634,1.13,0.92
1966,90650,1.01,1.08
1977,90650,0.83,0.88
1999,90650,1.02,0.91
1966,91499,0.4,0.36
1977,91499,0.38,0.29
1999,91499,1.26,1.31
1966,101123,0.82,0.79
1977,101123,0.68,0.77
1999,101123,0.68,0.67
1966,101215,0.74,0.83
1977,101215,0.95,0.91
1999,101215,1.07,1.08
1966,102238,0.78,0.83
1977,102238,0.93,0.9
1999,102238,0.76,0.78
1966,110819,0.83,0.83
1977,110819,1.03,0.8
1999,110819,0.81,0.83
1966,110920,0.86,0.82
1977,110920,1.06,0.91
1999,110920,0.83,0.86
1966,112206,0.57,0.57
1977,112206,0.77,0.75
1999,112206,0.87,0.8
1966,121379,1.15,1.09
1977,121379,1.01,0.95
1999,121379,0.96,0.96
1966,130991,0.69,0.67
1977,130991,0.92,0.85
1999,130991,0.92,0.84
1966,131009,0.78,0.79
1977,131009,0.79,0.76
1999,131009,1.02,0.97
1966,132232,0.88,0.82
1977,132232,0.99,0.92
1999,132232,1.4,1.35
1966,132250,0.92,0.83
1977,132250,0.79,0.81
1999,132250,0.72,0.8
1966,132396,0.93,0.9
1977,132396,0.81,0.74
1999,132396,0.98,1.07
1966,132542,0.76,0.76
1977,132542,1.02,0.97
1999,132542,1.06,1.04
1966,140733,0.76,0.72
1977,140733,0.89,0.85
1999,140733,0.97,0.97
1966,140736,0.78,0.8
1977,140736,0.92,0.98
1999,140736,0.98,0.9
1966,140761,0.7,0.69
1977,140761,1.15,1.17
1999,140761,1,1.06
1966,140931,0.9,0.93
1977,140931,0.73,0.65
1999,140931,0.9,0.73
1966,140934,0.84,0.82
1977,140934,0.96,0.79
1999,140934,1.09,1.04
1966,142575,0.87,0.93
1977,142575,0.8,0.69
1999,142575,0.88,0.91
1966,150951,1.01,1.03
1977,150951,0.85,0.69
1999,150951,1.04,0.99
1966,152490,0.99,1.11
1977,152490,0.83,0.87
1999,152490,0.88,0.94
1966,152645,0.97,0.97
1977,152645,1.12,0.97
1999,152645,0.79,0.81
1966,152656,0.83,0.76
1977,152656,1.06,1.09
1999,152656,0.78,0.85
1966,160935,0.77,0.75
1977,160935,0.71,0.74
1999,160935,1.21,1.35
1966,162566,0.99,0.96
1977,162566,0.88,0.73
1999,162566,0.96,0.93
1966,171167,0.75,0.8
1977,171167,0.94,0.85
1999,171167,0.93,0.93
1966,182130,0.75,0.75
1977,182130,0.76,0.74
1999,182130,1.01,1.01
1966,190830,1.12,1.03
1977,190830,0.66,0.7
1999,190830,1,1.01
1966,70228,0.68,0.64
1977,70228,0.77,0.68
1999,70228,0.8,0.75
1966,32177,0.91,0.99
1977,32177,0.77,0.64
1999,32177,0.92,0.91
1966,182024,0.85,0.9
1977,182024,0.98,0.98
1999,182024,0.82,0.82
1966,112440,0.76,0.72
1977,112440,1.29,1.04
1999,112440,1.01,1.17
1966,152651,0.88,0.94
1977,152651,0.8,0.82
1999,152651,0.97,0.86
1977,122521,1.85,1.1
1999,122521,1.07,1.15
1966,70622,0.77,0.7
1977,70622,0.66,0.62
1999,70622,0.73,0.81
1966,132010,0.67,0.64
1977,132010,0.46,0.46
1999,132010,0.56,0.47
1966,142220,0.57,0.55
1977,142220,0.65,0.71
1999,142220,0.94,1.12
1966,20605,1.32,1.54
1977,20605,0.65,0.66
1999,20605,0.41,0.64
1966,152151,0.61,0.6
1977,152151,0.89,0.9
1999,152151,0.73,0.7
1966,80398,0.87,0.94
1977,80398,0.77,0.92
1999,80398,1.1,1.1
1966,101092,0.51,0.46
1977,101092,0,0
1999,101092,1.08,1.11
1966,40952,0.4,0.42
1977,40952,0.59,0.51
1999,40952,0.7,0.7
1977,152118,1.21,1.38
1999,152118,1.05,0.78
1966,90522,0.91,0.72
1977,90522,0.85,0.8
1999,90522,0.77,0.8
1966,91327,0.79,0.72
1977,91327,0.66,0.65
1999,91327,1,1.05
1966,90542,0.74,0.8
1977,90542,0.26,0.33
1966,60252,0,0
1977,60252,0.99,0.65
1999,60252,1.58,1.83
1966,80301,0.74,0.65
1977,80301,0.94,1.14
1966,50244,0.74,0.72
1977,50244,1.06,0.92
1999,50244,1.02,1.22
1966,91487,0.88,0.86
1977,91487,0.71,0.94
1999,91487,0.78,0.73
1966,70152,0.69,0.7
1977,70152,0.83,0.61
1999,70152,0.81,0.94
1977,100961,0.86,1.02
1999,100961,1.18,0.99
1966,100974,0.27,0.26
1977,100974,0.47,0.6
1999,100974,0.76,0.84
1966,60172,0.74,0.63
1977,60172,1.51,1.43
1999,60172,1.23,1.22
1966,40522,0.54,0.57
1977,40522,0.35,0.34
1999,40522,1.18,1.17
1966,131032,0.83,0.98
1977,131032,0.91,1
1999,131032,0.75,0.64
1966,60386,0.73,0.98
1977,60386,0.63,0.59
1999,60386,0.56,0.6
1966,111212,0.55,0.61
1977,111212,0.5,0.48
1999,111212,0.56,0.6
1966,100680,0.67,0.66
1977,100680,0.46,0.7
1999,100680,0.76,0.77
1966,112256,1.12,1.09
1977,112256,0.92,0.85
1999,112256,0.36,0.45
1966,172210,0.85,0.88
1977,172210,1.14,1.18
1999,172210,0.76,1.07
1966,91321,0.72,0.63
1977,91321,0.46,0.59
1966,121088,0.95,0.93
1977,121088,1.07,0.93
1999,121088,1,1.04
1966,91385,0.81,0.77
1977,91385,0.94,0.76
1999,91385,0.9,0.88
1966,121162,0.61,0.55
1977,121162,0.88,0.72
1999,121162,1.02,1.1
1966,140810,0.87,0.77
1977,140810,0.79,0.85
1999,140810,0.66,0.61
1966,131061,0.78,0.75
1977,131061,0.79,0.77
1999,131061,1.09,1.24
1966,80503,0.8,1.08
1977,80503,0.74,0.65
1999,80503,0.59,0.55
1966,100963,1.28,1.2
1977,100963,0.23,0.36
1999,100963,0.62,0.89
1966,131091,0.77,0.68
1977,131091,0.75,0.98
1999,131091,0.77,0.84
1966,50262,0.72,0.78
1977,50262,1.18,1.01
1999,50262,1.31,1.3
1966,131138,0.89,0.77
1977,131138,0.78,0.78
1999,131138,0.56,0.44
1966,121301,0.9,0.89
1977,121301,0.69,0.61
1999,121301,1.11,1.04
1966,60124,0.36,0.33
1977,60124,0.6,0.7
1966,50442,1,0.9
1977,50442,0.47,0.48
1999,50442,0.59,0.65
1966,130788,0.66,0.57
1977,130788,0.77,0.7
1999,130788,1.6,1.59
1966,202341,0.69,0.9
1977,202341,0.46,0.48
1966,130992,1.01,1.12
1977,130992,0.7,0.75
1999,130992,1.18,1.09
1966,62369,0.82,0.88
1977,62369,0.82,0.67
1999,62369,0.71,0.75
1966,131183,0.52,0.52
1977,131183,1,0.92
1999,131183,0.58,0.57
1966,171194,0.95,0.99
1977,171194,0.94,0.85
1999,171194,0.83,0.82
1966,131179,1.05,1.01
1977,131179,0.2,0.17
1999,131179,1.13,1.19
1966,152464,1.31,1.31
1977,152464,0.61,0.61
1999,152464,1.26,1.47
1966,111227,0.95,0.96
1977,111227,0.56,1.52
1999,111227,0.69,0.72
1966,60086,1.47,1.44
1977,60086,0.86,1.27
1999,60086,0.71,0.65
1966,101100,0.92,0.82
1999,101100,0.41,0.33
1977,40479,0.91,0.63
1999,40479,0.91,0.9
1966,90658,0.74,0.91
1977,90658,0.96,0.94
1999,90658,0.74,0.74
1999,40485,0.82,0.99
1966,90062,0.83,0.69
1977,90062,1.18,0.99
1999,90062,0.92,0.97
1966,111208,0.99,1.15
1999,111208,1.02,1.15
1966,70182,1.12,0.89
1977,70182,0.9,1.06
1999,70182,1.23,1.18
1999,100956,0.87,0.83
1966,90616,0.63,0.66
1977,90616,1.07,1.18
1999,90616,0.95,1
1966,40549,0.59,0.68
1999,40549,0.85,0.91
1966,90278,0.92,0.71
1977,90278,1.86,2
1999,90278,1.02,1
1966,50340,1.11,0.99
1999,50340,0.86,0.74
1977,110795,1.44,1.25
1999,110795,0.78,0.84
1977,60339,1.45,2.06
1999,60339,1.16,1.08
1966,110797,1.5,0.88
1977,110797,1.85,2.05
1999,110797,0.91,0.86
1977,90121,1.27,1.44
1999,90121,0.82,0.88
1966,40554,0.61,0.56
1977,40554,1.04,1.11
1999,40554,1.03,0.94
1977,50299,1.06,1.17
1999,50299,0.94,0.82
1977,60145,1.18,0.85
1999,60145,0.7,0.74
1966,90276,1.26,0.96
1977,90276,1.16,0.77
1999,90276,0.7,0.7
1977,40480,1.23,0.8
1999,40480,1.01,1.04
1966,90567,0.84,0.85
1977,90567,1.43,1.38
1999,90567,0.66,0.74
1977,182695,1.21,0.94
1999,182695,1.09,0.99
1999,10194,0.65,0.77
1977,171306,1.31,0.96
1999,171306,1.35,1.32
1999,12032,1.62,1.52
1999,190635,0.71,0.84
1966,150911,1.38,0.79
1977,150911,1.5,1.36
1999,150911,0.93,0.85
1977,151140,1.88,1.59
1999,151140,0.96,0.7
1999,160760,1.02,1.08
1977,151123,1.65,1.07
1999,151123,1.39,0.7
1966,10619,1.26,0.99
1977,10619,1.8,1.29
1999,10619,1.45,1.25
1977,20820,1.67,0.9
1999,20820,0.7,0.7
1966,60426,0.89,0.74
1977,60426,0.83,0.87
1999,60426,0.53,0.57
1966,70018,0.96,0.64
1977,70018,1.02,0.82
1999,70018,0.7,0.68
1966,10675,1.5,0.73
1977,10675,0.77,0.59
1999,10675,0.81,0.78
1966,50559,1.64,1.15
1977,50559,0.69,0.65
1999,50559,0.61,0.68
1966,52130,1.11,0.68
1977,52130,1.04,0.71
